prioridad,model,tiene_tos,tiene_hist,cual_historical,tiene_ssp245,tiene_ssp370,tiene_ssp585,experimentos_encontrados
3,ECMWF-IFS-HR,1,1,hist-1950,0,0,0,control-1950|hist-1950
3,ECMWF-IFS-LR,1,1,hist-1950,0,0,0,control-1950|hist-1950
3,ECMWF-IFS-MR,1,1,hist-1950,0,0,0,control-1950|hist-1950|spinup-1950
3,FGOALS-f3-H,1,1,hist-1950,0,0,0,control-1950|highres-future|highresSST-future|hist-1950|omip2
3,GISS-E2-2-H,1,1,historical,0,0,0,1pctCO2|abrupt-2xCO2|abrupt-4xCO2|historical|piControl
3,GISS-E3-G,1,1,historical,0,0,0,1pctCO2|abrupt-4xCO2|amip|historical|piControl
3,HadGEM3-GC31-HH,1,1,hist-1950,0,0,0,control-1950|highres-future|hist-1950
3,HadGEM3-GC31-HM,1,1,hist-1950,0,0,0,control-1950|highres-future|hist-1950
3,HadGEM3-GC31-MM,1,1,hist-1950+historical,0,0,1,1pctCO2|abrupt-4xCO2|control-1950|dcppA-assim|dcppA-hindcast|dcppB-forecast|dcppC-amv-ExTrop-neg|dcppC-amv-ExTrop-pos|dcppC-amv-Trop-neg|dcppC-amv-Trop-pos|dcppC-amv-neg|dcppC-amv-pos|dcppC-atl-control|dcppC-forecast-addAgung|dcppC-forecast-addElChichon|dcppC-forecast-addPinatubo|dcppC-hindcast-noAgung|dcppC-hindcast-noElChichon|dcppC-hindcast-noPinatubo|dcppC-ipv-NexTrop-neg|dcppC-ipv-NexTrop-pos|dcppC-ipv-neg|dcppC-ipv-pos|dcppC-pac-control|highres-future|hist-1950|historical|pa-futAntSIC|pa-futArcSIC|pa-pdSIC|pa-piAntSIC|pa-piArcSIC|piControl|spinup-1950|ssp126|ssp585
3,ICON-ESM-LR,1,1,historical,0,0,0,1pctCO2|abrupt-4xCO2|historical|piControl
3,INM-CM5-H,1,1,hist-1950,0,0,0,control-1950|hist-1950
3,IPSL-CM5A2-INCA,1,1,historical,0,1,0,1pctCO2|abrupt-4xCO2|historical|piControl|ssp126|ssp370|ssp370-lowNTCF|ssp370-lowNTCFCH4|ssp370-ssp126Lu
3,IPSL-CM6A-LR-INCA,1,1,historical,0,0,0,abrupt-4xCO2|historical
3,MPI-ESM-1-2-HAM,1,1,historical,0,1,0,1pctCO2|abrupt-4xCO2|hist-piAer|historical|piControl|ssp370|ssp370-lowNTCF
